Lens_Category,Lens_Name,SPH_Lower,SPH_Upper,CYL_Lower,CYL_Upper,Diameter,Price,Availability
فوتوجراي,Plastic Grey 1.56,-8.0,-6.25,-6.0,-4.25,70,650,من القاهرة
فوتوجراي,Plastic Grey 1.56,-10.0,-8.25,-6.0,-4.25,70,700,من القاهرة
فوتوجراي,Plastic Grey 1.56,0.0,4.0,0.0,2.0,65,150,متوفر لدينا
فوتوجراي,Plastic Grey 1.56,4.25,6.0,0.0,2.0,65,320,من القاهرة
فوتوجراي,Plastic Grey 1.56,6.25,8.0,0.0,2.0,65,400,من القاهرة
فوتوجراي,Plastic Grey 1.56,0.0,4.0,2.25,4.0,65,245,متوفر لدينا
فوتوجراي,Plastic Grey 1.56,4.25,6.0,2.25,4.0,65,400,من القاهرة
فوتوجراي,Plastic Grey 1.56,0.0,4.0,4.25,6.0,60,600,من القاهرة
فوتوجراي,Plastic Grey 1.56,0.25,1.75,-2.0,-0.5,65,160,متوفر لدينا
فوتوجراي,Plastic Grey 1.56,0.25,3.75,-4.0,-2.25,65,250,متوفر لدينا
فوتوجراي,Plastic Grey 1.56,0.25,4.0,-6.0,-4.25,65,400,متوفر لدينا
فوتوجراي,Plastic Grey 1.56,4.25,5.75,-6.0,-4.25,65,440,من القاهرة
فوتوبراون,Plastic Brown 1.56,-4.0,0.0,-2.0,0.0,70,150,متوفر لدينا
فوتوبراون,Plastic Brown 1.56,-6.0,-4.25,-2.0,0.0,70,170,متوفر لدينا
فوتوبراون,Plastic Brown 1.56,-8.0,-6.25,-2.0,0.0,70,260,من القاهرة
فوتوبراون,Plastic Brown 1.56,-4.0,0.0,-4.0,-2.25,70,245,متوفر لدينا
فوتوبراون,Plastic Brown 1.56,-6.0,-4.25,-4.0,-2.25,70,270,من القاهرة
فوتوبراون,Plastic Brown 1.56,0.0,4.0,0.0,2.0,65,150,متوفر لدينا
فوتوبراون,Plastic Brown 1.56,4.25,6.0,0.0,2.0,65,320,من القاهرة
فوتوبراون,Plastic Brown 1.56,0.0,2.0,2.25,4.0,65,245,متوفر لدينا
فوتوبراون,Plastic Brown 1.56,0.25,1.75,-2.0,-0.5,65,160,متوفر لدينا
فوتوبراون,Plastic Brown 1.56,0.25,3.75,-4.0,-2.25,65,250,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),-4.0,0.0,-2.0,0.0,70,135,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),-6.0,-4.25,-2.0,0.0,70,140,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),-8.0,-6.25,-2.0,0.0,70,180,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),-4.0,0.0,-4.0,-2.25,70,155,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),-6.0,-4.25,-4.0,-2.25,70,200,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),-8.0,-6.25,-4.0,-2.25,70,290,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),-4.0,0.0,-6.0,-4.25,70,260,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),-6.0,-4.25,-6.0,-4.25,70,260,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),0.0,4.0,0.0,2.0,65,135,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),4.25,6.0,0.0,2.0,60,175,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),6.25,8.0,0.0,2.0,55,330,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),8.25,10.0,0.0,2.0,55,370,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),10.25,12.0,0.0,0.0,55,390,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),0.0,3.0,2.25,4.0,60,210,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),3.25,4.0,2.25,4.0,55,210,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),4.25,6.0,2.25,4.0,55,330,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),0.0,4.0,4.25,6.0,55,330,من القاهرة
Blue Cut,Blue Cut 1.56 (Plastic),0.25,1.75,-2.0,-0.5,65,140,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),0.25,3.75,-4.0,-2.25,65,175,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),0.25,4.0,-6.0,-4.25,65,290,متوفر لدينا
Blue Cut,Blue Cut 1.56 (Plastic),4.25,5.75,-6.0,-4.5,65,350,من القاهرة
ضد الكسر,ضد الكسر 1.59 (Anti-Shock),-4.0,0.0,-2.0,0.0,70,130,متوفر لدينا
ضد الكسر,ضد الكسر 1.59 (Anti-Shock),-6.0,-4.25,-2.0,0.0,70,150,من القاهرة
ضد الكسر,ضد الكسر 1.59 (Anti-Shock),-4.0,0.0,-4.0,-2.25,70,260,من القاهرة
ضد الكسر,ضد الكسر 1.59 (Anti-Shock),0.0,4.0,0.0,2.0,65,130,متوفر لدينا
ضد الكسر,ضد الكسر 1.59 (Anti-Shock),4.25,6.0,0.0,2.0,65,200,من القاهرة
ضد الكسر,ضد الكسر 1.59 (Anti-Shock),0.0,2.0,2.25,4.0,65,260,من القاهرة
ضد الكسر,ضد الكسر 1.59 (Anti-Shock),0.25,1.75,-2.0,-0.5,65,150,متوفر لدينا
ضد الكسر,ضد الكسر 1.59 (Anti-Shock),0.25,3.75,-4.0,-2.25,65,260,من القاهرة
ضد الكسر Blue Cut,Blue Cut Anti-Shock (1.59),-4.0,0.0,-2.0,0.0,70,230,متوفر لدينا
ضد الكسر Blue Cut,Blue Cut Anti-Shock (1.59),-6.0,-4.25,-2.0,0.0,70,250,من القاهرة
ضد الكسر Blue Cut,Blue Cut Anti-Shock (1.59),-4.0,0.0,-4.0,-2.25,70,300,متوفر لدينا
ضد الكسر Blue Cut,Blue Cut Anti-Shock (1.59),0.0,4.0,0.0,2.0,65,230,متوفر لدينا
ضد الكسر Blue Cut,Blue Cut Anti-Shock (1.59),0.0,2.0,2.25,4.0,65,300,متوفر لدينا
ضد الكسر Blue Cut,Blue Cut Anti-Shock (1.59),0.25,1.75,-2.0,-0.5,65,250,متوفر لدينا
ضد الكسر Blue Cut,Blue Cut Anti-Shock (1.59),0.25,3.75,-4.0,-2.25,65,300,متوفر لدينا
